App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,category_key,rating_num,reviews_num,installs_num,size_mb,subjectivity_num
Major Mayhem,GAME,4.6,520962,39M,"10,000,000+",Free,0,Teen,Action,"June 28, 2017",108,4.0 and up,GAME,4.6,520962.0,10000000.0,39.0,
Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,GAME,4.2,3816799.0,100000000.0,32.0,
Zombie Hunter King,GAME,4.3,10538,50M,"1,000,000+",Free,0,Mature 17+,Action,"August 1, 2018",1.0.8,2.3 and up,GAME,4.3,10538.0,1000000.0,50.0,
Once Upon a Tower,GAME,4.7,37139,49M,"1,000,000+",Free,0,Everyone 10+,Action,"January 24, 2018",8,4.1 and up,GAME,4.7,37139.0,1000000.0,49.0,
TEKKEN™,GAME,4.2,147791,38M,"5,000,000+",Free,0,Teen,Action,"July 26, 2018",1.3,5.0 and up,GAME,4.2,147791.0,5000000.0,38.0,
diep.io,GAME,4.1,347883,20M,"10,000,000+",Free,0,Everyone,Action,"March 16, 2018",1.2.7,4.0.3 and up,GAME,4.1,347883.0,10000000.0,20.0,
Runner 3d like,GAME,4.5,559,32M,"100,000+",Free,0,Everyone 10+,Action,"August 3, 2018",1.0.7,4.0 and up,GAME,4.5,559.0,100000.0,32.0,
Quiz: Logo game,GAME,4.5,306764,29M,"10,000,000+",Free,0,Everyone,Trivia,"August 3, 2018",6.2,4.0.3 and up,GAME,4.5,306764.0,10000000.0,29.0,
Helix Jump,GAME,4.2,1500622,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,GAME,4.2,1500622.0,100000000.0,33.0,
8 Ball Pool,GAME,4.5,14201604,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,GAME,4.5,14201604.0,100000000.0,52.0,
Traffic Racer,GAME,4.5,5387781,53M,"100,000,000+",Free,0,Everyone,Racing,"February 27, 2018",2.5,4.1 and up,GAME,4.5,5387781.0,100000000.0,53.0,
Hill Climb Racing,GAME,4.4,8923847,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,GAME,4.4,8923847.0,100000000.0,63.0,
Earn to Die 2,GAME,4.6,1327269,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up,GAME,4.6,1327269.0,50000000.0,99.0,
Candy Bomb,GAME,4.4,42145,20M,"10,000,000+",Free,0,Everyone,Casual;Brain Games,"July 4, 2018",2.9.3181,4.0.3 and up,GAME,4.4,42145.0,10000000.0,20.0,
Cut the Rope FULL FREE,GAME,4.4,2123793,49M,"100,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up,GAME,4.4,2123793.0,100000000.0,49.0,
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,"10,000,000+",Free,0,Everyone,Casual,"July 23, 2018",60,4.1 and up,GAME,4.6,125647.0,10000000.0,33.0,
1LINE – One Line with One Touch,GAME,4.6,214878,10M,"10,000,000+",Free,0,Everyone,Board,"August 3, 2018",2.0.4,4.1 and up,GAME,4.6,214878.0,10000000.0,10.0,
Pixel Art: Color by Number Game,GAME,4.7,1125566,25M,"10,000,000+",Free,0,Everyone,Puzzle,"July 17, 2018",3.9.2,4.3 and up,GAME,4.7,1125566.0,10000000.0,25.0,
Jetpack Joyride,GAME,4.4,4638163,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up,GAME,4.4,4638163.0,100000000.0,96.0,
Racing in Car 2,GAME,4.3,234110,38M,"50,000,000+",Free,0,Everyone,Racing,"November 22, 2016",1.0,2.3.3 and up,GAME,4.3,234110.0,50000000.0,38.0,
Jodel - The Hyperlocal App,SOCIAL,4.5,76480,20M,"1,000,000+",Free,0,Mature 17+,Social,"August 6, 2018",4.95.4,5.0 and up,SOCIAL,4.5,76480.0,1000000.0,20.0,
Moment,SOCIAL,4.5,19583,37M,"1,000,000+",Free,0,Teen,Social,"August 1, 2018",5.2.1,4.4 and up,SOCIAL,4.5,19583.0,1000000.0,37.0,
Meetup,SOCIAL,4.2,79129,23M,"5,000,000+",Free,0,Teen,Social,"August 2, 2018",3.10.26,4.4 and up,SOCIAL,4.2,79129.0,5000000.0,23.0,
MeetMe: Chat & Meet New People,SOCIAL,4.2,1259849,76M,"50,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",Varies with device,4.1 and up,SOCIAL,4.2,1259849.0,50000000.0,76.0,
MeetMe: Chat & Meet New People,SOCIAL,4.2,1259894,76M,"50,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",Varies with device,4.1 and up,SOCIAL,4.2,1259894.0,50000000.0,76.0,
Timehop,SOCIAL,4.1,161610,16M,"5,000,000+",Free,0,Teen,Social,"August 5, 2018",4.5.3,4.1 and up,SOCIAL,4.1,161610.0,5000000.0,16.0,
LOVOO,SOCIAL,4.0,852455,68M,"10,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",27.0,4.2 and up,SOCIAL,4.0,852455.0,10000000.0,68.0,
"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4,900064,13M,"10,000,000+",Free,0,Mature 17+,Social,"July 31, 2018",4.17.2,4.1 and up,SOCIAL,4.4,900064.0,10000000.0,13.0,
Meetup,SOCIAL,4.2,79130,23M,"5,000,000+",Free,0,Teen,Social,"August 2, 2018",3.10.26,4.4 and up,SOCIAL,4.2,79130.0,5000000.0,23.0,
Rope Hero Return of a Legend,GAME,4.3,9951,96M,"1,000,000+",Free,0,Mature 17+,Arcade,"August 26, 2016",1.0,2.3 and up,GAME,4.3,9951.0,1000000.0,96.0,
Agar.io,GAME,4.2,3815614,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,GAME,4.2,3815614.0,100000000.0,32.0,
Pokémon GO,GAME,4.1,10421284,85M,"100,000,000+",Free,0,Everyone,Adventure,"July 23, 2018",0.111.3,4.4 and up,GAME,4.1,10421284.0,100000000.0,85.0,
PAC-MAN,GAME,4.2,685450,37M,"100,000,000+",Free,0,Everyone,Arcade,"May 15, 2018",6.6.3,4.1 and up,GAME,4.2,685450.0,100000000.0,37.0,
Law of Creation: A Playable Manga,GAME,4.5,13118,47M,"500,000+",Free,0,Teen,Adventure,"June 25, 2018",1.0.19,4.0.3 and up,GAME,4.5,13118.0,500000.0,47.0,
Real City Car Driver,GAME,3.7,413609,22M,"10,000,000+",Free,0,Mature 17+,Racing,"August 1, 2018",2.8,4.1 and up,GAME,3.7,413609.0,10000000.0,22.0,
Four In A Line Free,GAME,4.3,133195,11M,"5,000,000+",Free,0,Everyone,Board,"June 11, 2018",1.58,4.1 and up,GAME,4.3,133195.0,5000000.0,11.0,
MORTAL KOMBAT X,GAME,4.4,3039889,18M,"10,000,000+",Free,0,Mature 17+,Action,"June 27, 2018",1.18.2,4.0 and up,GAME,4.4,3039889.0,10000000.0,18.0,
Hill Climb Racing,GAME,4.4,8921451,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,GAME,4.4,8921451.0,100000000.0,63.0,
FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14M,"10,000,000+",Free,0,Mature 17+,Action,"May 16, 2014",3.0.4,2.1 and up,GAME,4.5,1736105.0,10000000.0,14.0,
Fruit Ninja®,GAME,4.3,5091448,41M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.6.7.487220,4.1 and up,GAME,4.3,5091448.0,100000000.0,41.0,
Temple Run 2,GAME,4.3,8116142,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,GAME,4.3,8116142.0,500000000.0,62.0,
Beach Buggy Blitz,GAME,4.2,640974,47M,"50,000,000+",Free,0,Everyone,Racing,"June 5, 2018",1.5,4.0.3 and up,GAME,4.2,640974.0,50000000.0,47.0,
Vector,GAME,4.4,3058687,89M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 18, 2016",1.2.0,4.0 and up,GAME,4.4,3058687.0,100000000.0,89.0,
Temple Run,GAME,4.3,4000433,42M,"100,000,000+",Free,0,Everyone,Arcade,"August 2, 2018",1.9.1,4.0 and up,GAME,4.3,4000433.0,100000000.0,42.0,
PUBG MOBILE,GAME,4.4,3697174,36M,"50,000,000+",Free,0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up,GAME,4.4,3697174.0,50000000.0,36.0,
Granny,GAME,4.5,1128805,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up,GAME,4.5,1128805.0,50000000.0,59.0,
Helix Jump,GAME,4.2,1485806,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up,GAME,4.2,1485806.0,100000000.0,33.0,
RC City Police Heavy Traffic Racer,GAME,4.4,3250,27M,"1,000,000+",Free,0,Everyone,Racing,"July 19, 2018",1.2,4.0 and up,GAME,4.4,3250.0,1000000.0,27.0,
Helix,GAME,3.9,2454,37M,"500,000+",Free,0,Everyone,Arcade,"September 10, 2017",1.2,4.0 and up,GAME,3.9,2454.0,500000.0,37.0,
iGun Pro -The Original Gun App,GAME,4.2,249308,55M,"10,000,000+",Free,0,Everyone,Arcade,"September 7, 2017",5.26,2.3 and up,GAME,4.2,249308.0,10000000.0,55.0,
NinJump,GAME,4.3,421000,36M,"10,000,000+",Free,0,Everyone,Arcade,"June 13, 2018",3.1.1,4.1 and up,GAME,4.3,421000.0,10000000.0,36.0,
Jetpack Joyride,GAME,4.4,4637439,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up,GAME,4.4,4637439.0,100000000.0,96.0,
KPOP Amino for K-Pop Entertainment,SOCIAL,4.8,19047,63M,"100,000+",Free,0,Teen,Social,"July 13, 2018",1.8.19106,4.0.3 and up,SOCIAL,4.8,19047.0,100000.0,63.0,
Talking Tom Gold Run,GAME,4.6,2694969,78M,"100,000,000+",Free,0,Everyone,Action,"July 31, 2018",2.8.2.59,4.1 and up,GAME,4.6,2694969.0,100000000.0,78.0,
M3-X5-X6-M-İ3-İ8 RACİNG 2018,GAME,4.4,596,44M,"100,000+",Free,0,Everyone,Arcade,"February 12, 2017","1,01",4.0 and up,GAME,4.4,596.0,100000.0,44.0,
M-acceleration 3D Car Racing,GAME,3.9,1202,34M,"100,000+",Free,0,Everyone,Racing,"June 28, 2018",1.6,4.1 and up,GAME,3.9,1202.0,100000.0,34.0,
Rope'n'Fly 4,GAME,4.1,234606,59M,"10,000,000+",Free,0,Everyone,Action,"January 29, 2018",3.1,2.3 and up,GAME,4.1,234606.0,10000000.0,59.0,
Drag'n'Boom,GAME,4.8,133180,54M,"1,000,000+",Free,0,Everyone 10+,Arcade,"January 12, 2018",1.1.1,4.4 and up,GAME,4.8,133180.0,1000000.0,54.0,
Mopar Drag N Brag,GAME,4.2,30630,17M,"1,000,000+",Free,0,Everyone,Racing,"May 25, 2015",1.2.5,4.1 and up,GAME,4.2,30630.0,1000000.0,17.0,
The Maze Runner,GAME,4.0,428268,22M,"10,000,000+",Free,0,Everyone,Action,"September 14, 2015",1.8.1,2.3 and up,GAME,4.0,428268.0,10000000.0,22.0,
pixiv,SOCIAL,4.2,86956,24M,"1,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",5.0.109,4.4 and up,SOCIAL,4.2,86956.0,1000000.0,24.0,
Q*bert: Rebooted,GAME,4.3,13788,55M,"1,000,000+",Free,0,Everyone,Arcade,"April 1, 2017",1.1,4.4 and up,GAME,4.3,13788.0,1000000.0,55.0,
R-TYPE,GAME,4.5,7687,23M,"100,000+",Paid,$1.99,Everyone,Arcade,"February 27, 2017",2.3.1,2.3.3 and up,GAME,4.5,7687.0,100000.0,23.0,
AT&T Call Protect,COMMUNICATION,4.2,6454,15M,"5,000,000+",Free,0,Everyone,Communication,"May 3, 2018",1.5.13-3598,5.0 and up,COMMUNICATION,4.2,6454.0,5000000.0,15.0,
Identity V,GAME,4.2,109263,38M,"1,000,000+",Free,0,Teen,Action,"July 10, 2018",1.0.144431,4.1 and up,GAME,4.2,109263.0,1000000.0,38.0,
V for Voodoo,GAME,4.2,16876,59M,"1,000,000+",Free,0,Teen,Trivia,"June 28, 2018",3.0.1,6.0 and up,GAME,4.2,16876.0,1000000.0,59.0,
X-WOLF,GAME,4.2,4878,27M,"100,000+",Free,0,Everyone 10+,Adventure,"February 2, 2018",1.2.0,4.1 and up,GAME,4.2,4878.0,100000.0,27.0,
Hero Fighter X,GAME,4.5,24210,45M,"500,000+",Free,0,Teen,Action,"November 13, 2015",1.091,2.2 and up,GAME,4.5,24210.0,500000.0,45.0,
Robocar X Ray,GAME,4.5,3432,99M,"1,000,000+",Free,0,Mature 17+,Action,"January 23, 2017",1.0,2.3 and up,GAME,4.5,3432.0,1000000.0,99.0,
Rope Hero 3,GAME,4.4,45871,99M,"5,000,000+",Free,0,Teen,Action,"May 8, 2017",1.6,2.3 and up,GAME,4.4,45871.0,5000000.0,99.0,
Experiment Z - Zombie,GAME,4.0,229329,88M,"10,000,000+",Free,0,Mature 17+,Action,"December 4, 2017",2.14,4.1 and up,GAME,4.0,229329.0,10000000.0,88.0,
DRAGON BALL Z DOKKAN BATTLE,GAME,4.1,650114,80M,"10,000,000+",Free,0,Teen,Action,"July 3, 2018",3.11.0,4.0.3 and up,GAME,4.1,650114.0,10000000.0,80.0,
Reload: The Z-Team,GAME,4.3,1655,91M,"100,000+",Free,0,Everyone 10+,Action,"February 28, 2018",1.6.2,4.4 and up,GAME,4.3,1655.0,100000.0,91.0,
Route Z,GAME,3.9,24697,16M,"500,000+",Free,0,Teen,Action,"July 10, 2015",1.5,4.0 and up,GAME,3.9,24697.0,500000.0,16.0,
Dragon X Adventure: Warrior Z,GAME,4.3,8537,29M,"100,000+",Free,0,Everyone 10+,Action,"November 3, 2015",1.1.4,2.3 and up,GAME,4.3,8537.0,100000.0,29.0,
AE Coin Mania : Arcade Fun,GAME,4.3,30002,29M,"1,000,000+",Free,0,Teen,Casino,"February 8, 2018",2.3.5,4.0.3 and up,GAME,4.3,30002.0,1000000.0,29.0,
Mupen64+AE FREE (N64 Emulator),GAME,4.0,41759,12M,"1,000,000+",Free,0,Everyone,Arcade,"January 19, 2014",2.4.4,2.0 and up,GAME,4.0,41759.0,1000000.0,12.0,
AE Blackjack,GAME,4.0,1417,17M,"100,000+",Free,0,Teen,Card,"November 27, 2015",1.3.1,2.3 and up,GAME,4.0,1417.0,100000.0,17.0,
AE GTO Racing,GAME,3.9,6988,35M,"100,000+",Free,0,Everyone 10+,Racing,"September 24, 2015",Varies with device,Varies with device,GAME,3.9,6988.0,100000.0,35.0,
AE 3D Moto 3,GAME,3.9,2588,26M,"100,000+",Free,0,Everyone 10+,Racing,"December 31, 2014",1.7.1,2.3 and up,GAME,3.9,2588.0,100000.0,26.0,
GUN ZOMBIE,GAME,4.4,243121,38M,"5,000,000+",Free,0,Teen,Arcade,"October 17, 2014",5.3,2.3 and up,GAME,4.4,243121.0,5000000.0,38.0,
I Am Innocent,GAME,4.4,208501,56M,"1,000,000+",Free,0,Teen,Adventure,"July 23, 2018",2.8.307,4.0.3 and up,GAME,4.4,208501.0,1000000.0,56.0,
Ao Oni2,GAME,4.1,21223,48M,"1,000,000+",Free,0,Teen,Adventure,"April 20, 2018",1.6.6,4.1 and up,GAME,4.1,21223.0,1000000.0,48.0,
Arena of Valor: 5v5 Arena Game,GAME,4.4,438911,99M,"10,000,000+",Free,0,Teen,Action,"June 28, 2018",1.23.1.2,4.0.3 and up,GAME,4.4,438911.0,10000000.0,99.0,
Iron Blade,GAME,4.4,161637,82M,"10,000,000+",Free,0,Mature 17+,Action,"July 18, 2018",1.7.0m,4.0.3 and up,GAME,4.4,161637.0,10000000.0,82.0,
The Walking Dead: Our World,GAME,4.0,22435,100M,"1,000,000+",Free,0,Teen,Action,"August 1, 2018",1.1.0.3,5.0 and up,GAME,4.0,22435.0,1000000.0,100.0,
Flat Pack,GAME,4.4,862,44M,"100,000+",Free,0,Everyone 10+,Action,"March 16, 2018",1.0.4,7.0 and up,GAME,4.4,862.0,100000.0,44.0,
Augment - 3D Augmented Reality,BUSINESS,4.1,25195,21M,"1,000,000+",Free,0,Everyone,Business,"February 26, 2018",v3.4.0-3,4.0.3 and up,BUSINESS,4.1,25195.0,1000000.0,21.0,
Au Mobile: Audition Chính Hiệu,GAME,3.9,85278,23M,"1,000,000+",Free,0,Mature 17+,Music,"July 17, 2018",1.8.0716,4.0.3 and up,GAME,3.9,85278.0,1000000.0,23.0,
Love Dance,GAME,4.0,29462,44M,"1,000,000+",Free,0,Teen,Music,"June 14, 2018",1.1.7,4.0 and up,GAME,4.0,29462.0,1000000.0,44.0,
DEER HUNTER 2018,GAME,4.3,955614,82M,"10,000,000+",Free,0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up,GAME,4.3,955614.0,10000000.0,82.0,
Banana Kong,GAME,4.4,3452530,68M,"100,000,000+",Free,0,Everyone,Action,"February 7, 2018",1.9.6.6,4.0.3 and up,GAME,4.4,3452530.0,100000000.0,68.0,
Millionaire : Who want to be?,GAME,4.4,4396,40M,"100,000+",Free,0,Everyone,Trivia,"April 12, 2017",1.5,2.3 and up,GAME,4.4,4396.0,100000.0,40.0,
YAY - TBH,SOCIAL,4.1,2520,12M,"100,000+",Free,0,Teen,Social,"November 17, 2017",1.1.5,4.3 and up,SOCIAL,4.1,2520.0,100000.0,12.0,
Battlefield™ Companion,GAME,4.0,263907,62M,"10,000,000+",Free,0,Everyone 10+,Action,"November 1, 2016",3.0.4,4.0 and up,GAME,4.0,263907.0,10000000.0,62.0,
Bullet Force,GAME,4.5,634159,58M,"10,000,000+",Free,0,Teen,Action,"June 21, 2018",1.40,4.2 and up,GAME,4.5,634159.0,10000000.0,58.0,
BF Frontline City,GAME,4.1,29798,80M,"1,000,000+",Free,0,Mature 17+,Action,"March 6, 2017",5.1.7,2.3 and up,GAME,4.1,29798.0,1000000.0,80.0,
Rento - Dice Board Game Online,GAME,4.3,205830,63M,"10,000,000+",Free,0,Everyone,Board,"June 20, 2018",4.4.9,4.1 and up,GAME,4.3,205830.0,10000000.0,63.0,
Grindr - Gay chat,SOCIAL,3.6,284795,31M,"10,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",4.1.2,4.3 and up,SOCIAL,3.6,284795.0,10000000.0,31.0,
MeetMe: Chat & Meet New People,SOCIAL,4.2,1259723,76M,"50,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",Varies with device,4.1 and up,SOCIAL,4.2,1259723.0,50000000.0,76.0,
OkCupid Dating,DATING,4.1,285838,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up,DATING,4.1,285838.0,10000000.0,15.0,
BLACKJACK!,GAME,4.4,524467,33M,"10,000,000+",Free,0,Teen,Casino,"July 7, 2016",1.126,2.3.3 and up,GAME,4.4,524467.0,10000000.0,33.0,
BlackJack 21 Pro,GAME,4.5,26744,51M,"500,000+",Free,0,Teen,Casino,"July 27, 2018",7.4.0,4.0.3 and up,GAME,4.5,26744.0,500000.0,51.0,
Red Ball 4,GAME,4.4,1432447,59M,"50,000,000+",Free,0,Everyone,Arcade,"November 9, 2017",1.3.21,4.0.3 and up,GAME,4.4,1432447.0,50000000.0,59.0,
Hambo,GAME,4.4,125578,17M,"5,000,000+",Free,0,Everyone,Action,"July 6, 2015",1.1.8,2.1 and up,GAME,4.4,125578.0,5000000.0,17.0,
Driving Zone,GAME,4.2,51791,57M,"1,000,000+",Free,0,Everyone,Racing,"June 6, 2018",1.53,4.1 and up,GAME,4.2,51791.0,1000000.0,57.0,
Color by Number – New Coloring Book,GAME,4.7,142308,24M,"5,000,000+",Free,0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up,GAME,4.7,142308.0,5000000.0,24.0,
Voxel - 3D Color by Number & Pixel Coloring Book,GAME,4.7,62561,53M,"1,000,000+",Free,0,Everyone,Board,"July 31, 2018",2.4.11,4.1 and up,GAME,4.7,62561.0,1000000.0,53.0,
Channel 19,COMMUNICATION,3.7,916,12M,"100,000+",Free,0,Mature 17+,Communication,"July 13, 2018",2.2.6,4.1 and up,COMMUNICATION,3.7,916.0,100000.0,12.0,
The Grand Way,GAME,3.9,1995,92M,"500,000+",Free,0,Teen,Action,"July 3, 2018",1.9,4.1 and up,GAME,3.9,1995.0,500000.0,92.0,
Miami Crime Vice Town,GAME,4.1,154519,99M,"10,000,000+",Free,0,Mature 17+,Action,"May 9, 2017",1.4,2.3 and up,GAME,4.1,154519.0,10000000.0,99.0,
Can Knockdown 3,GAME,4.1,349503,19M,"10,000,000+",Free,0,Everyone,Arcade,"August 26, 2015",1.31,4.0 and up,GAME,4.1,349503.0,10000000.0,19.0,
Adventure Time Run,GAME,4.3,24628,88M,"1,000,000+",Free,0,Everyone,Action,"July 26, 2018",1.25.396,4.4 and up,GAME,4.3,24628.0,1000000.0,88.0,
Multicraft Miner Exploration,GAME,4.0,14563,74M,"1,000,000+",Free,0,Everyone 10+,Adventure,"December 22, 2017",0.6.49,4.1 and up,GAME,4.0,14563.0,1000000.0,74.0,
IV Go（get IV for Pokemon）,GAME,4.6,132282,20M,"1,000,000+",Free,0,Everyone,Adventure,"July 31, 2018",15.0,4.1 and up,GAME,4.6,132282.0,1000000.0,20.0,
RIDE ZERO,GAME,4.6,8778,36M,"100,000+",Free,0,Teen,Music,"January 2, 2018",1.3.1,4.3 and up,GAME,4.6,8778.0,100000.0,36.0,
My Vodafone (GR),COMMUNICATION,3.8,12667,34M,"1,000,000+",Free,0,Everyone,Communication,"August 1, 2018",4.5.5.1-2090AL-REL,4.3 and up,COMMUNICATION,3.8,12667.0,1000000.0,34.0,
Moto Rider,GAME,4.2,115176,24M,"10,000,000+",Free,0,Teen,Racing,"June 15, 2018",1.2.1,4.0 and up,GAME,4.2,115176.0,10000000.0,24.0,
Dan the Man: Action Platformer,GAME,4.8,528550,73M,"10,000,000+",Free,0,Teen,Arcade,"July 26, 2018",1.2.6,4.1 and up,GAME,4.8,528550.0,10000000.0,73.0,
Knife Hit,GAME,4.5,462614,60M,"10,000,000+",Free,0,Everyone,Arcade,"May 22, 2018",1.7.2,4.0.3 and up,GAME,4.5,462614.0,10000000.0,60.0,
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483782,20M,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,COMMUNICATION,4.4,483782.0,10000000.0,20.0,
Racing in Car 2,GAME,4.3,234589,38M,"50,000,000+",Free,0,Everyone,Racing,"November 22, 2016",1.0,2.3.3 and up,GAME,4.3,234589.0,50000000.0,38.0,
Bike Racing 3D,GAME,4.2,951435,14M,"50,000,000+",Free,0,Everyone,Racing,"January 17, 2018",2.2,2.1 and up,GAME,4.2,951435.0,50000000.0,14.0,
Truck Driver Cargo,GAME,4.1,257531,44M,"10,000,000+",Free,0,Everyone 10+,Racing,"January 18, 2018",7,4.1 and up,GAME,4.1,257531.0,10000000.0,44.0,
DEER HUNTER RELOADED,GAME,4.3,314774,43M,"5,000,000+",Free,0,Teen,Action,"September 16, 2013",3.8.2,2.1 and up,GAME,4.3,314774.0,5000000.0,43.0,
DH Pineapple Poker OFC,GAME,4.2,1878,20M,"100,000+",Free,0,Teen,Casino,"November 9, 2017",1.0.13,3.0 and up,GAME,4.2,1878.0,100000.0,20.0,
Call of Mini™ Dino Hunter,GAME,4.2,326042,10M,"10,000,000+",Free,0,Teen,Action,"June 6, 2014",3.1.7,3.0 and up,GAME,4.2,326042.0,10000000.0,10.0,
Daddyhunt: Gay Dating,SOCIAL,3.9,6450,14M,"500,000+",Free,0,Mature 17+,Social,"January 22, 2018",1.3.5,4.0 and up,SOCIAL,3.9,6450.0,500000.0,14.0,
Defender,GAME,4.6,152395,14M,"10,000,000+",Free,0,Everyone 10+,Action,"July 22, 2016",1.1.9,2.3 and up,GAME,4.6,152395.0,10000000.0,14.0,
Robbery Bob,GAME,4.5,617732,44M,"10,000,000+",Free,0,Everyone 10+,Action,"July 29, 2018",1.18.4,4.1 and up,GAME,4.5,617732.0,10000000.0,44.0,
Dating.dk,SOCIAL,3.7,2111,11M,"100,000+",Free,0,Mature 17+,Social,"August 6, 2018",4.1.23,4.4 and up,SOCIAL,3.7,2111.0,100000.0,11.0,
NARUTO X BORUTO NINJA VOLTAGE,GAME,4.4,267395,71M,"5,000,000+",Free,0,Everyone 10+,Action,"July 19, 2018",1.1.7,4.4 and up,GAME,4.4,267395.0,5000000.0,71.0,
Dude Perfect 2,GAME,4.5,401648,70M,"10,000,000+",Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,GAME,4.5,401648.0,10000000.0,70.0,
The Walking Zombie: Dead City,GAME,4.6,58575,96M,"1,000,000+",Free,0,Teen,Action,"February 21, 2018",2.55,4.1 and up,GAME,4.6,58575.0,1000000.0,96.0,
Dr. Parking 4,GAME,4.4,475369,13M,"50,000,000+",Free,0,Everyone,Racing,"March 6, 2018",1.14,4.0.3 and up,GAME,4.4,475369.0,50000000.0,13.0,
Dr. Driving 2,GAME,4.6,358633,19M,"10,000,000+",Free,0,Everyone,Racing,"May 3, 2018",1.32,4.0.3 and up,GAME,4.6,358633.0,10000000.0,19.0,
RetroArch,GAME,3.8,21423,84M,"1,000,000+",Free,0,Everyone,Action,"May 4, 2018",1.7.3,2.3 and up,GAME,3.8,21423.0,1000000.0,84.0,
Wheelie Challenge,GAME,4.6,137338,51M,"5,000,000+",Free,0,Everyone,Racing,"July 13, 2018",1.44,4.1 and up,GAME,4.6,137338.0,5000000.0,51.0,
Caller ID & Call Block - DU Caller,COMMUNICATION,4.6,93930,14M,"5,000,000+",Free,0,Everyone,Communication,"August 1, 2018",4.0.8,4.2 and up,COMMUNICATION,4.6,93930.0,5000000.0,14.0,
Gear.Club - True Racing,GAME,4.4,140658,37M,"1,000,000+",Free,0,Everyone,Racing,"August 1, 2018",1.21.2,4.3 and up,GAME,4.4,140658.0,1000000.0,37.0,
ZOMBIE RIPPER,GAME,3.7,16073,94M,"500,000+",Free,0,Mature 17+,Action,"November 14, 2017",1.4,4.0 and up,GAME,3.7,16073.0,500000.0,94.0,
Pineapple Pen,GAME,4.3,157264,65M,"10,000,000+",Free,0,Everyone,Arcade,"December 30, 2016",1.31,4.0.3 and up,GAME,4.3,157264.0,10000000.0,65.0,
Zombie Frontier,GAME,4.2,326689,20M,"10,000,000+",Free,0,Teen,Action,"May 30, 2018",1.31,4.2 and up,GAME,4.2,326689.0,10000000.0,20.0,
Dubai Racing,GAME,4.2,16237,23M,"500,000+",Free,0,Everyone,Racing,"December 23, 2015",1.9.1,2.3 and up,GAME,4.2,16237.0,500000.0,23.0,
Adivina el cantante de Trap y Reggaeton,GAME,4.5,1914,24M,"100,000+",Free,0,Everyone,Trivia,"June 29, 2018",3.6.7z,4.0.3 and up,GAME,4.5,1914.0,100000.0,24.0,
Fernanfloo,GAME,4.8,526595,49M,"10,000,000+",Free,0,Everyone 10+,Arcade,"June 26, 2018",2.9,4.0.3 and up,GAME,4.8,526595.0,10000000.0,49.0,
The Game of Life,GAME,4.4,18652,63M,"100,000+",Paid,$2.99,Everyone,Board,"July 4, 2018",2.1.2,4.4 and up,GAME,4.4,18652.0,100000.0,63.0,
Get 'Em,GAME,4.1,7904,21M,"500,000+",Free,0,Everyone 10+,Action,"October 26, 2016",1.6.7,4.0.3 and up,GAME,4.1,7904.0,500000.0,21.0,
